"Tabella 6.34. Elenco delle università in ordine alfabetico con i valori degli indicatori R e IRAS, calcolati su diciassette aree, pesati con i pesi di area.",,,,,,,,,,,,,,,,,,
Istituzione,H1,R1,IRAS1,H2,R2,IRAS2,H1_2,R1_2,IRAS1_2,H3,R3,IRAS3,H4,R4,IRAS4,H5,R5,IRAS5
Aosta,0.11,1.03,0.12,0.06,0.93,0.06,0.08,0.98,0.08,0.00,0.90,0.00,0.15,0.73,0.11,0.00,0.00,0.00
Bari,2.47,0.92,2.27,2.33,0.95,2.22,2.38,0.94,2.24,1.36,1.00,1.37,2.42,0.81,1.97,0.75,0.85,0.63
Bari Politecnico,0.48,1.04,0.50,0.71,1.02,0.73,0.63,1.03,0.64,0.92,1.02,0.93,0.60,1.14,0.69,0.55,1.20,0.65
Basilicata,0.66,0.89,0.58,0.38,0.95,0.36,0.48,0.92,0.44,0.37,0.94,0.35,0.45,1.03,0.46,0.24,0.53,0.13
Benevento - Giustino Fortunato,0.03,0.69,0.02,0.08,0.92,0.07,0.06,0.89,0.06,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00
Bergamo,0.53,0.99,0.52,0.94,1.00,0.94,0.79,1.00,0.79,0.51,1.02,0.52,0.76,1.23,0.93,0.16,0.87,0.14
Bologna,5.21,1.05,5.45,5.35,1.03,5.50,5.30,1.04,5.48,5.19,1.00,5.22,5.14,1.12,5.73,7.87,1.19,9.41
Bolzano,0.45,1.02,0.45,0.48,1.03,0.49,0.47,1.02,0.48,0.19,1.05,0.19,0.45,1.03,0.46,0.29,1.17,0.34
Bra - Scienze Gastronomiche,0.04,1.12,0.04,0.03,0.98,0.03,0.03,1.04,0.03,0.02,1.12,0.02,0.15,0.73,0.11,0.16,0.77,0.13
Brescia,1.16,1.03,1.20,0.90,1.01,0.90,1.00,1.01,1.01,0.89,0.98,0.88,0.91,0.83,0.75,0.91,0.75,0.69
Cagliari,1.95,0.93,1.81,1.56,0.94,1.47,1.70,0.94,1.59,0.99,0.99,0.98,1.66,1.01,1.68,0.85,0.80,0.69
Calabria,1.29,0.97,1.25,1.34,0.96,1.29,1.32,0.97,1.28,1.16,0.98,1.14,1.36,0.98,1.33,0.62,0.77,0.48
Camerino,0.62,0.96,0.59,0.42,0.93,0.39,0.49,0.94,0.46,0.38,0.91,0.34,0.45,0.73,0.33,0.60,0.78,0.47
Campania Vanvitelli,1.92,0.98,1.88,1.39,0.98,1.36,1.59,0.97,1.55,1.52,0.96,1.46,1.51,0.75,1.13,0.58,0.74,0.43
Casamassima LUM,0.07,0.98,0.07,0.20,1.00,0.20,0.15,1.01,0.15,0.08,0.89,0.07,0.15,0.73,0.11,0.00,0.00,0.00
CASD,0.00,0.00,0.00,0.03,1.04,0.03,0.02,1.04,0.02,0.00,0.00,0.00,0.15,1.17,0.18,0.00,0.00,0.00
Cassino,0.39,0.90,0.35,0.45,0.98,0.44,0.43,0.95,0.41,0.27,1.11,0.30,0.45,1.03,0.46,0.24,0.63,0.15
Castellanza LIUC,0.10,1.01,0.11,0.06,0.93,0.06,0.08,0.97,0.08,0.09,0.94,0.08,0.15,1.46,0.22,0.02,0.54,0.01
Catania,2.24,0.93,2.08,1.99,0.93,1.85,2.08,0.93,1.94,1.85,0.94,1.74,2.11,0.96,2.04,0.95,0.94,0.89
Catanzaro,0.41,0.96,0.39,0.59,0.98,0.57,0.52,0.98,0.51,0.49,1.00,0.49,0.45,0.73,0.33,0.00,0.00,0.00
Chieti e Pescara,1.04,0.96,1.00,1.28,0.94,1.21,1.19,0.95,1.13,1.09,0.86,0.94,1.21,0.84,1.02,0.51,0.64,0.32
Enna Kore,0.23,0.88,0.20,0.48,0.88,0.42,0.38,0.89,0.34,0.06,0.78,0.04,0.45,0.34,0.15,0.04,0.17,0.01
Ferrara,1.22,1.04,1.27,1.07,1.00,1.08,1.13,1.02,1.15,0.77,1.04,0.80,1.06,1.11,1.17,0.75,0.83,0.62
Firenze,2.96,1.05,3.10,2.85,1.03,2.93,2.89,1.04,2.99,2.97,1.02,3.02,2.87,1.02,2.92,3.38,0.96,3.24
Firenze IUL,0.00,0.00,0.00,0.04,0.77,0.03,0.02,0.78,0.02,0.00,0.00,0.00,0.15,1.17,0.18,0.00,0.00,0.00
