_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
1,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),562
2,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,322
3,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,279
4,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),834
5,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,338
6,2020,101,Torino - Università degli studi,Piemonte,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,228
7,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),175
8,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,115
9,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,192
10,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),512
11,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,170
12,2020,102,Torino - Politecnico,Piemonte,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,364
13,2020,201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),99
14,2020,201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,65
15,2020,201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,47
16,2020,201,"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),160
